Review,Sentiment,,,,
Don\u2019t forget Mitch Daniels is going to be on Steven Colbert\u2019s show Thursday.  Think this will come up as a topic?,Negative,,,,
Amazon prime is literally a lie....I ordered a book LAST MONDAY &amp; it still isn't here. do better @user,Negative,,,,
Who the hell moshes at Matt and Kim?? Next time watch out for my face\u002c mofos! My cheekbones better not be purple tomorrow. @user,Positive,,,,
"""What a difference not having Sterling on the pitch makes! Welbeck dragged wide 1st half, the Ox replaces Sterling, Welbeck down middle, goal""",Positive,,,,
"""Dear lovely Christians, I wish to inform you, tomorrow we got one Mass @ 10am as we'll be submitting our parish family day collection!""",Positive,,,,
"""To Kpop fans, we song along to vocals, 2nd voices, raps, fanchants, do the instruments &amp; even perform its own choreo",Neutral,,,,
Cherie Blair is sat on our coach going to the games! #Olympics2012,Neutral,,,,
continued : Emmanuel Adebayor has not travelled with the squad for our Europa League away tie in Greece tomorrow evening.,Negative,,,,
Mario Williams is catching hell! He will be Exposed on Sunday... Not like Buffalo don't see him 4 who he is Already!,Negative,,,,
"""Kris Bryant hurt, Joe Maddon ejected in today's Cubs game, and it's only the 6th inning.",Neutral,,,,
"@user Last Wednesday, when I saw you dressed as Robin, all I can think about is ""Who's Batman? Where's the Teen Titans?""",Neutral,,,,
@user Brock lesnar live from madison square garden sounds like it could just be a live feed of him sat on a chair for 3 hours,Neutral,,,,
@user Frank ocean releasing his second album december 31st 2015 on new years eve. heres the interview...,Positive,,,,
@user @user at da end of da night no girl that roll with me is on da MTA! They are above that as long as I can afford that!,Neutral,,,,
@user SCOTUS based their argument on the 14th. No matter how you stretch it race was not involved.,Negative,,,,
My mom's over here tryna tell me that we're taking the CAHSEE tomorrow ._. Nigga it's only the second month of school.. #SlowYourRoll,Neutral,,,,
"""Rahul Gandhi held Indian citizenship from day one: Congress: New Delhi, Nov 18: Dismissing BJP leader Subraman...",Neutral,,,,
"""I'm going to Paramore at Rock Im Park in Nuremburg, Germany - Jun 8",Positive,,,,
Happy Birthday Nick J  May you live long and Happy :),Negative,,,,
ECHO: Sex offender is warned he may face jail over offences #Dorset,Positive,,,,
I hope Bernie Sanders is a sun and the other two are shooting stars or black holes.,Neutral,,,,
"""Shows how much you can trust drivers answering these questions. Alonso was still saying on Monday that Ferrari split is """"""""just a rumor."""""""" #F1""",Positive,,,,
Who else is going to the Chris brown tour this Thursday #ChrisBrown#onehellofanighttour,Negative,,,,
"Your inspirational quotes on twitter/Feb never really got to me. But oh damn ur pics of them on IG have truly inspired me. #idiots""",Positive,,,,
Another beauty of a day in Athens\u002c Greece. I trust you\u2019ll have an exceptional Friday wherever in the world you are. Much love.,Positive,,,,
"""Another great night in Split, off to Hvar on the 8:30 ferry tomorrow morning... dreading the packing but excited to get there!""",Positive,,,,
@user and im seeing Ed live this Saturday at b'ham NIA! It would be amazing to get the book signed. Thanks for putting it together,Neutral,,,,
"""Church tonight, who will you bring????""",Negative,,,,
Q_Q Today was the day that Naruto shippuden: UNS4 was suppose to come out. WHYYYYYYY DID THEY PUSH IT ALL THE WAY TO JAN???? HELLO,Neutral,,,,
Pics of the March Fourth Marching Band at the Oregon Country Fair closing out the show Sunday night. Their...,Positive,,,,
The audio booth is ready to blow the roof off the Comcast Center tomorrow! Are you? #MDMadness,Positive,,,,
welllll who wants to see Ed Sheeran with me on the 17th????,Positive,,,,
GOALdotCOM: Premier League Team of the Week: Van Persie & Aguero both star after City & Arsenal wins,Neutral,,,,
The Hitchhiker's Guide to the Galaxy Game - 30th Anniversary Edition Need to sign up with the BBC online.,Positive,,,,
I'm seeing Ed Sheeran on Wednesday in Miami so if you wanna meet up or say hi hmu!,Neutral,,,,
"""Chuck Close shares his best-kept secrets with @user on the eve of his new show, opening Thursday @user",Positive,,,,
Vermaelen the hero for Barca: Thomas Vermaelen was the unlikely hero as Barcelona laboured to a 1-0 home win over Malaga on Saturday ...,Negative,,,,
@user I\u2019m sick with something ill be at school on Monday though,Positive,,,,
"""There's something about Friday Night Lights, you just get chills thinking about it .""",Neutral,,,,
"Googled the snake I stepped over on the trail Sunday. Baby timber rattler. So time to Google ""snake-proof hiking boots.""",Negative,,,,
"@user Also, his anger against Hindus are justified but couldn't get why he was so anti Islam..may be he was just fed up of religions""",Neutral,,,,
Ricky Ponting and I now have something in common. Today he passed 23\u002c000 1st class runs. Last night at training\u002c i was hit for 23\u002c000 runs.,Neutral,,,,
Ted Nugent talks to us about #hunting and other stuff he\u2019s got on his mind @user this Saturday at 7am on the Great Outdoors\u002c #nuge,Neutral,,,,
Check out Newsha Tavakolian at the Saatchi Gallery in London. Her photos of Iran may interest some of you!,Neutral,,,,
Mansbridge destroyed Justin tonite the polls for the lib's should tank tomorrow! Wake up people he is NOT ready!!,Neutral,,,,
For the ones tomorrow sunday in Milan (Italy): Aperitif and evening at Fiat Open Lounge:,Neutral,,,,
"""J'regarde des infos sur Ragnarok (le film) &amp;bon: """"Thor will make it out of the third movie[..]Loki, on the other hand may not be so Lucky.""""""",Neutral,,,,
"@user Donald trump said the same thing about the tax rate.  Fact check said he was a liar ""pant of fire""",Neutral,,,,
"""If you\u2019re calling this little thing right here a \""""""""party\"""""""" then Friday night\u2019s gonna be Project X\u002c Y\u002c & Z.""",Positive,,,,
"""Love this vid!! 1st time I\u2019ve seen it!--- jules explains it all - David Archuleta sings \""""""""Nandito Ako.\"""""""" via @user",Positive,,,,
"@user @user Not just Christians, you are in the prayers of """"all of us"""" humans.May you stay safe and be free soon!God bless.""",Positive,,,,
Happy birthday @user ! National Bieber Day . Now he\u2019s 18th years\u002c but he\u2019s #stillkidrauhl #IndonesiaSaysHBDforJustinBieber,Negative,,,,
"""If you put one over the plate he's gonna fuck you up  Called it, Kris Bryant with his 21st""",Positive,,,,
Good luck to Girls Tennis as the take on South Torrance today on 1st round CIF! #GoLions2012,Negative,,,,
"""\""""Hey\u002c you\u2019re missing Beauty and the Beast\u002c Vampire Diaries & Grey\u2019s Anatomy right now on TV. Saturday is Merlin\"""" - @user #sisterlife""",Positive,,,,
Decided to watch Rick and Morty will probably watch Naruto tomorrow such a good movie hits ya right in the feels,Neutral,,,,
first Hasek now Modano want to come back...who's next Mario Lemieux for the 4th time!,Positive,,,,
@user isn\u2019t it just!  staying in and watching the lovely James Martin on Saturday kitchen. Great pumpkin soup recipe to warm u up,Neutral,,,,
@user how was your day today? Did you enjoy watching softball. We missed you on tiger woods,Neutral,,,,
And to think I wrote this Dustin Johnson Tweet after the second round of the British Open,Neutral,,,,
Just Turned the corner into Ghetto n #Roma 1st thing I saw a group of Muslims! Now that's tourism for ya. It's a sm world after all #peace,Positive,,,,
Be sure to look for Nash's new video with Skylynn tomorrow #NashNewVideo love you @user,Neutral,,,,
Who wants to be my date to the White Sox vs Red Sox game Tuesday,Positive,,,,
"At long last, Lexus has developed a hoverboard, the 'Slide,' to be tested in public for the first time on Wed.",Negative,,,,
I noticed all the Huddlestone haters were conspicuous by their absence yesterday\u002c particularly when he assisted Bale for the 1st goal #THFC,Positive,,,,
Unexpected development-- saw Ant-Man on Saturday night in London. It was surprisingly charming. I actually quite enjoyed it.,Positive,,,,
"""Tomorrow is Star Wars day! New movie! And is @user and @user birthday! Great, isn't? @user",Positive,,,,
Sun is shining... Bob Marley on the radio... hiya Monday!,Positive,,,,
"""Hope, Love &amp; Laughter; Warmth, Prosperity &amp; Joy; A fragrant bouquet filled with life; You may Enjoy! A very happy Eid -""",Neutral,,,,
'Frank Ocean' appeared on Sunday 16 at the 11th place in the Top20 of Dallas-Ft. Worth's Trends: #trndnl,Neutral,,,,
"""Also may take years to figure out if the song reaching #1 or John Cena co-opting """"I Can't Feel My Face"""" as his signature tagline is stranger""",Negative,,,,
Yakub death may be unfortunate bt we shud respect SC's decision n not vitiate atmosphere in the name of religion #YakubToHang #YakubVerdict,Positive,,,,
Its the 1st video without zayn and its still perf #DragMeDownMusicVideo,Neutral,,,,
Has anyone ever seen @user and Iron Maiden's Bruce Dickinson together in the same room?,Neutral,,,,
Why does everyone want to give Eli Manning credit for every win. The truth is Sunday\u2019s game should have been a blowout.,Negative,,,,
"The pics were taken on a 2004 Nokia, and it's really blurry and may induce cataracts. Just a heads up.",Neutral,,,,
I think this was the first night of Louis with Briana? (That's not her tho) I saved it on April 17 but I DK,Neutral,,,,
On Monday im going to eat so much you might as well call me Jordan and Ally. Im so fucking hungry.,Neutral,,,,
"""Be prepared to listen about Nicki and Miley tomorrow at school, or maybe Kanye""",Neutral,,,,
@user I just wonder how peter is the 1st pope when the Romans crucified him 200 years before Christianity was legalized in Rome,Neutral,,,,
Sky : Melo and Perisic are set to debut in the Inter shirt against Milan in next Sunday's derby. Icardi is also probable.,Neutral,,,,
"@user You really want to go there? He had a gr8 Milan team from 03 to 06. He finished 1st, 2nd and 2nd to a team that was relegated 4..""",Neutral,,,,
"""Christianity is nothing else but the imitation of God\u2019s nature.  We seek a relationship with God through Jesus ...\""""""""Lord that I may see\"""""""".""",Negative,,,,
"""Wrap-up: Broncos 34, Saints 14:  Thoughts on the New Orleans Saints' 34-14 loss to the Denver Broncos on Sunday ...",Neutral,,,,
@user big ups SL!!! Copped the 10.5 Gucci's missed out Friday!!!,Positive,,,,
"""Officially going to the Kenny Chesney, Jason Aldean, Brantley Gilbert, and Cole Swindal concert on Saturday!! Excited beyond words!!""",Positive,,,,
Join @user now for boosted 4/1 Arsenal &amp; Chelsea both to win in the #BPL tomorrow. #AFC #CFC,Positive,,,,
Snoop Dogg is playing at the State Fair on Wednesday and I wANnA GO sOooOoO BAd,Negative,,,,
"@user Hi, I have a sneaking suspicion Barack Obama and Sarah Palin may be part of the DKEU. Can you find out, please?",Neutral,,,,
2nd half about to start. No subs for the Red Stars to begin the half. WNY kicking off. 45 to go....,Positive,,,,
"""Six good reviews for the new Deus Ex. I'm going to pre-order it today, I've seen enough coverage to know it's going to be worth a look.""",Positive,,,,
Bob Marley playing in the lab. Happy Saturday!!,Positive,,,,
October day 1 was good :-)  Goodnight taking the CAHSEE tomorrow . Hope i pass :),Neutral,,,,
@user yea I was just thinking that! Btw Reece is going to be in Kyle and Jackie O tomorrow I think.... In the studio,Neutral,,,,
Our paper needs to be turned into blackboard and Google by midnight on friday it needs to be less than 17 % on blackboard!!! #aumrsch,Positive,,,,
On the bright side tomorrow\u2019s CHOCOLATE DAY #getexcited,Neutral,,,,
Imagine if this was clashing with tomorrow's Celebrity Big Brother launch though. I'd be so torn.,Neutral,,,,
"""Off to ER, for the Edinburgh Derby, c'mon the Hibs""",Negative,,,,
The verse of Kendrick Lamar on Black Friday.. Listen to that shit with a notebook,Neutral,,,,
Randy Orton is going to be in Lawton tomorrow,Negative,,,,
"""Oomf is gay. He may not know it yet, but I do lol""",Neutral,,,,
Delhi police says report about Sunanda Pushkar's death inconclusive: Delhi Police said Friday the forensic evi...,Positive,,,,
Overall...tonight reconfirmed my love for nicki and why I never went back to side bangs after 7th grade,Positive,,,,
"""Harper Lee's Go Set a Watchman comes out tomorrow, I just want to call into work so I can read it all day.""",Neutral,,,,
@user @user Is Wednesday normally Cascades help day? I might want to make a trip at some point before January 21st.,Positive,,,,
You just got to love Prince George Happy 2nd Birthday !! #princegeorge,Negative,,,,
Yes it is. Bori practitioners have survived by not attempting to abandon Islam. So they blend in easily.,Negative,,,,
AirAsia aborts deal to buy Indonesia's Batavia Air - Southeast Asia's top budget carrier AirAsia said Monday it has ...,Positive,,,,
"""Happy Birthday George, you cutie. Royals celebrate Prince George's 2nd birthday via @user",Neutral,,,,
"""Frank Gifford, dies at 84 - The Washington Post. I worked with Frank way back at Wide World of Sports. Class Act. RIP",Positive,,,,
Floyd Mayweather is heavy favourite to go 49-0 on the 12th. Bet on the fight here - #Boxing,Positive,,,,
@user @user I'm watching the red carpet for Nicki mostly. They're gonna air the show tomorrow night so I might go to bed after,Neutral,,,,
"""Sumlin says he put Kyler Murray in for Kyle Allen during 1st half as a """"change of pace quarterback."""" That pace: Fast. Murray has some wheels""",Positive,,,,
My Friday: closet clean out\u002c furniture rearranging\u002c Al Green while taking a bath wrapping it all up with Downton Abbey. #lizlemon,Positive,,,,
"""Happy birthday, Hank Williams. In honor if the Hank turning 88, we'll play 88 Hank songs in a row tonite @user #honkytonk""",Positive,,,,
"Which is more interesting unveil tomorrow? $AAPL 6s, Ipad, TV or $TM new Prius? I'm going with Prius.",Positive,,,,
Sitting 14th row for AC/DC tonight!! Let's go!,Neutral,,,,
"""Go Set a Watchman comes out tomorrow! Do you plan to read it?   I have to reread TKAM first, but then I definitely...",Neutral,,,,
#RAW Aaaaaand Randy Orton becomes the 3rd person ever to pin Rusev. Whoever's booking Rusev should step down or resign.,Negative,,,,
Something may be slightly amiss in the NFL when Tim Tebow &amp; Devon Still are cut &amp; Tom Brady is allowed to play.,Positive,,,,
Shawn comes to Vegas the 18th or 19th &amp; I will go to the airport to meet him,Positive,,,,
@user I thought it was the football team at 1st until I scrolled down and saw Trey Burke. Lol,Negative,,,,
Muslims will assist Muslims into high positions in the UK.....I think we may be fucked guys.....,Neutral,,,,
@user Mate\u002c how are you lads enjoying Andy Carroll over there? Can we have him back in January? We\u2019re a bit desperate!,Neutral,,,,
A future Big Brother might be able to see you in the dark ..,Neutral,,,,
I\u2019m going to Roger Sanchez at Factory in Toronto\u002c Canada - Dec 7,Neutral,,,,
During nap time I will: watch the end of Hart of Dixie\u002c set up Activity Corner for tomorrow\u002c & study more genetics stuff. #hotdiggitydog,Neutral,,,,
@user @user @user I get it. You're like the caster version of Chuck Norris. You're just waiting for @user Championship Sunday,Negative,,,,
"My little brother comes home with nike elite socks and jordans, when i was in 6th grade i got wilson socks and clearance shoes from Olympia",Neutral,,,,
Rousey to fight former boxer - Mixed martial arts star Ronda Rousey said Friday she will face female boxer Holly H...,Neutral,,,,
"""Tomorrow at work, when people talk to me, I'm just going to slap my crotch and twerk in response. See if I get the same reaction Nicki did.""",Positive,,,,
@user   Maby cuz u are sooo good at bowling and they are now scared from u :p  They got sick from u taking the 1st place everytime,Neutral,,,,
BIG BANG CONCERT IS TOMORROW. OH MY LORD !! BOO HOO HOOOO )\u2019: *Cries all the 7 seas*,Negative,,,,
""" religious liberty"" is defined as religion that Bobby Jindal &amp; Huckabee approve of. Read the constitution!",Neutral,,,,
I don\u2019t doubt the 2nd coming will be in Jerusalem AND Missouri\u002c but when is it due?,Positive,,,,
tomorrow I am going to see Sam Smith live and it still is not real to me,Positive,,,,
"""rehearsing for Nov 6 \""""""""@MlTTR0MNEY: just called Jim Leyland to congratulate New York Giants on their victorious baseball match #SFGChamps #p2""",Neutral,,,,
"""Bryan sophomore Mykenzi Greenler gets by a Redskins defender Wednesday in Port Clinton. The Golden Bears, the No....",Positive,,,,
Josh Hamilton hits an RBI Double to give the Rangers a 4-2 lead in the 4th!! #Game106,Positive,,,,
Happy 18th Birthday to my boy Kyle!!  Very proud of him!  I would definitely rate him in the top 4 of all my kids!  @user,Positive,,,,
"""Best day and weekend trips from Seoul, by season: by Elizabeth EunThere's just so much to see in Seoul, it may t...",Negative,,,,
"Amazon Prime day is like going on the 3rd date with a gal, and when you finally get her panties off she got a dick!",Neutral,,,,
"""Nolan Arenado, Kris Bryant, Manny Machado and Miguel Sano are gonna won the 3rd base spot for the next 5-10 seasons""",Positive,,,,
"""December 5th could be the biggest UFC Card put together. Aldo &amp; McGregor, and Rousey as a co main event with her possibly fighting Cyborg.""",Neutral,,,,
"""Where's the sun mommy?"" ""It's asleep like you should be"" ""But Harper's a moon mommy""  Dammit kid.",Neutral,,,,
@user Im sure it will replay on NFL network tomorrow too.,Neutral,,,,
iPhone 6s Launch: More Details Leak Ahead of Apple's September 9 Event: iPhone 6s launch on Wednesday is just ...,Positive,,,,
@user yep AC/DC tonight at Ford Field then on a plane Thursday to San Diego...,Positive,,,,
What an Amazing Halloween Weekend! A lot of Great costumes! Can\u2019t wait for the big night This Wednesday! Underworld at Cinema!,Positive,,,,
he's 2nd for me behind Danny Elfman who does all of the Tim Burton movies. i love the whimsical music,Positive,,,,
"@user Im gr8 jdog!Wouldnt say missing the gills,missing football! The eagles didnt have a good start eh?  Have you done sun dream team?""",Neutral,,,,
Naruto is the 10th Nakama and would be the last Strawhat Crew. Just my opinion. Sorry.,Neutral,,,,
Support CEO Keith Bradshaw as he spends a night sleeping at Adelaide Oval on THURSDAY raising money for the homeless,Neutral,,,,
"@user @user yes, download avaiable 30 aug, but after can't play. waiting 1 sep . you read this in PS4  after finish download. good luck""",Positive,,,,
Social Media Week is right now! Can you tell I\u2019m excited? #SMWVAN I\u2019ll be at the @user event tomorrow\u002c see you there!,Neutral,,,,
Rahul Gandhi the kid is planning jail bharo with all his supporters on 19 Dec. Great. The judge will have less trouble arriving at verdict.,Positive,,,,
Babe get your free trial I want to see Beyonce live and Flatbush! @user,Neutral,,,,
@user I'm literally struggling as we speak--I'm traveling in March and I listen to soooo much KPop that it's past time!,Neutral,,,,
Did I just see what I think I did on @user Real Madrid signed a 7th old? #wow,Neutral,,,,
"Honestly, lack of 3rd party support should have been expected. its not the company's fault for not siding with Nintendo",Positive,,,,
Great sets as well by @user and @user We do it all again Sunday at Rock Im Park. @user @user,Neutral,,,,
"I started #TheAmericans on Friday courtesy my vacationing cat-owning neighbors with Amazon Prime. Oops. Uh, I'm not paying Amazon myself.",Neutral,,,,
Next sunday I'm going to CiTY Nightclub just to hear @user play.,Negative,,,,
@user May you please show How To Rock from episode 1 and so on.....i cant blieve theres no more how to rock,Positive,,,,
Dunkin tomorrow morning is@the only reason I'm getting out of bed,Neutral,,,,
The Kee to Bala just got Drizzy: Intimate concert in one of greatest venues with rapper @user this Saturday pm in #Muskoka's @user,Neutral,,,,
"@user May favorite one EVER on iOS is Harbaugh, it autocorrects to Garbage",Positive,,,,
Kevin said the race was like almost like a Sunday drive and he still beat Alonso and the Red Bulls lol,Negative,,,,
Now I kinda regret not going to Bolder on Friday.  #fuckme,Neutral,,,,
"""Nymburk shouldn't start any more games without floor spacers on the wing position. Need Simmons out there. Raivio 6th man, just fine..""",Neutral,,,,
"""White: UFC not going to Dallas in December, Rousey's next fight in Vegas via @user",Neutral,,,,
@user just sent you a request off the app. I'll get my PS4 on the 15th,Positive,,,,
"when I go to digi and get a pic with myles and jack G together both kidding my cheek, I may faint ... because that's my goal",Neutral,,,,
Anybody not taking the PSAT want to go to Original House of Pancakes tomorrow morning?,Positive,,,,
Congratulations to 4th ranked WBO featherweight Orlando Cruz!  1st active boxer to come out of the closet. #courage,Positive,,,,
Lol @ when Frank Ocean decides to lowkey drop his album on Spotify and say it was released June 30th  Shits fire tho,Positive,,,,
MTV just played a music video. Heart Shaped Box by Nirvana. On a Saturday morning. That just happened!,Negative,,,,
@user 25 March 1972: An IRA volunteer was killed when two IRA units engaged each other in error on the Springfield Road in Belfast.??,Neutral,,,,
Monday night RAW opens up with Paul Heyman and Brock Lesnar in the ring and Paul calling for a rematch.  Live...,Positive,,,,
ENDS TOMORROW! Want to win $100 Visa + 5 copies of Paper Towns ? I just entered to win and you can too.,Neutral,,,,
LEAVING ON SUNDAY... But I still have a Jason Aldean ticket for $30!!! Let me know if ya want it,Positive,,,,
This may be a fact!! RT @user Curtis painter will help the colts win their first game! U heard it here first!!!,Positive,,,,
@user hahahahha fair play see u tomorrow we can tell the time and listen to bob marley together???,Neutral,,,,
@user fell asleep during Magic Mike XXL.....guess we are just gonna have to rewatch it tomorrow.....daaaarn,Negative,,,,
@user most if not all of the sept 11th terrorists were from saudi arabia. they are part of the problem.,Positive,,,,
#RT The 3rd book in The Viking's Apprentice series has been released. Amazon users get it here #amreading,Neutral,,,,
@user we just confirmed Nipsey Hussle Dec. 29th @user Hall tix on sale Friday!,Positive,,,,
Iron Maiden tours video game history in 1st new single in five years. The graphics and feel of the games is so good,Negative,,,,
Jets over spent on Decker and sat back like he was Aaron Rodgers,Positive,,,,
Caitlyn Jenner's a new member of the T community -she is working for true self acceptance let's welcome her!,Positive,,,,
"""Saturday movie reviews: """"Ant-man"""" is fun &amp; light while """"Woman in Gold"""" is tugs at the heart",Neutral,,,,
just sat in on Bruno Mars interviews,Neutral,,,,
I am gonna Meryl Streep the fuck out of this tomorrow,Negative,,,,
"@user the Charlie Hebdo killers were French, so there's a high possibility these are French too. May as well just shoot everyone...""",Positive,,,,
@user my host moms company had a gala on Monday and all of the Jonas brothers were there ;),Positive,,,,
If justin and shawn takes a picture tomorrow I will actually have it as my background picture till I die,Positive,,,,
Vikings make sure you wear red tomorrow to show your Viking pride also at the game as well,Neutral,,,,
Just caught the end of TFI Friday. Chris Evans is like the Harold Zidler of Wetherspoons.,Positive,,,,
Sorry for no video on Minecraft yesterday. It literally JUST UPLOADED! That video will be up on monday and i think you will enjoy it! :),Positive,,,,
I really just found out that Kim Kardashian and Kanye had their 2nd baby like 10 days ago. Where the hell have I been? LMAO,Positive,,,,
@user just saw it advertising in the telly that The Big Bang Theory starts on the 23rd of October! #yas #TBBT #newseries,Neutral,,,,
@user tbh this game is bunk...I just wanna watch Monday's game with Messi,Neutral,,,,
High point. Ice Cube's son was the mvp of this movie. Whoever played Eazy should get 6th man of the year. Whoever casted Snoop shoot them.,Positive,,,,
Don't forget to support your 2nd fav team tonight boys & girls :))) haha   Newcastle Utd v Bordeaux   ESPN 8pm #toon,Negative,,,,
"@user he promised to take me to Milan on Saturday but he didn't step up, hence why he's a fuckboy""",Neutral,,,,
"""This Wednesday, beat the cold front @user with a celebration of George Harrison + The Beatles with Here Comes The Sun! Doors 7:30.""",Neutral,,,,
@user @user @user @user :If she's like Michelle Obama that may not be true?,Neutral,,,,
Randy Orton may be leaving WWE if he doesn't get a part-time deal with them! #WWE,Positive,,,,
the fact that we are going to be Sophia grace and rosie at the studio on tuesday makes me soo happy! @user #accents #cuties,Neutral,,,,
